timestamp;ui32ArduinoTimestamp;f32Value
32319796;1172329560;400.0000
32364755;1172392076;-1.0000
32389913;1172396752;400.0000
32434916;1172459268;-1.0000
32454909;1172463936;400.0000
32499822;1172526444;-1.0000
32519845;1172531252;400.0000
32569783;1172593636;-1.0000
32590076;1172598440;400.0000
32634909;1172660844;-1.0000
32654810;1172665556;400.0000
32699688;1172728048;-1.0000
32724793;1172732944;400.0000
32769854;1172795244;-1.0000
32799860;1172828912;-1.0000
32820009;1172833620;400.0000
32869918;1172896112;-1.0000
32889855;1172900832;400.0000
32924857;1172942076;202.0000
32969872;1172996848;-1.0000
32989996;1173001608;400.0000
33030015;1173042936;204.0000
33069891;1173097576;-1.0000
33084867;1173102268;400.0000
33134965;1173164748;-1.0000
33149860;1173169488;400.0000
33204842;1173231952;-1.0000
33219889;1173236700;400.0000
33269808;1173299144;-1.0000
33289780;1173304108;400.0000
33340143;1173366364;-1.0000
33360085;1173371100;400.0000
33404760;1173433536;-1.0000
33424981;1173438268;400.0000
33469838;1173500708;-1.0000
33489980;1173505468;400.0000
33539775;1173567912;-1.0000
33559878;1173572688;400.0000
33604839;1173635100;-1.0000
33624826;1173639844;400.0000
33674917;1173702292;-1.0000
33694821;1173707028;400.0000
33739811;1173769464;-1.0000
33759869;1173774240;400.0000
33809877;1173836656;-1.0000
33829885;1173841348;400.0000
33879845;1173903852;-1.0000
33899908;1173908612;400.0000
33930058;1173949864;203.0000
33979771;1174004596;-1.0000
33994887;1174009336;400.0000
34044759;1174071796;-1.0000
34064958;1174076512;400.0000
34110013;1174139004;-1.0000
34134949;1174143700;400.0000
34179812;1174206196;-1.0000
34199770;1174211024;400.0000
34244747;1174273396;-1.0000
34264903;1174278184;400.0000
34314959;1174340568;-1.0000
34334929;1174345308;400.0000
34379819;1174407772;-1.0000
34399748;1174412736;400.0000
34444747;1174474976;-1.0000
34464749;1174479792;400.0000
34514967;1174542168;-1.0000
34534866;1174546864;400.0000
34569946;1174588096;202.0000
34614879;1174642908;-1.0000
34639895;1174647640;400.0000
34684817;1174710096;-1.0000
34704857;1174714800;400.0000
34749870;1174777292;-1.0000
34769821;1174782076;400.0000
34819914;1174844468;-1.0000
34839907;1174849312;400.0000
34884735;1174911636;-1.0000
34905024;1174916328;400.0000
34954807;1174978832;-1.0000
34974832;1174983540;400.0000
35019811;1175046036;-1.0000
35039865;1175050788;400.0000
35089846;1175113232;-1.0000
35109801;1175118128;400.0000
35154957;1175180432;-1.0000
35174933;1175185208;400.0000
35219856;1175247624;-1.0000
35244907;1175252404;400.0000
35289869;1175314820;-1.0000
35309858;1175319604;400.0000
35354860;1175382028;-1.0000
35374797;1175386840;400.0000
35424969;1175449216;-1.0000
35444831;1175454000;400.0000
35489769;1175516412;-1.0000
35509813;1175521124;400.0000
35554720;1175583608;-1.0000
35579843;1175588412;400.0000
35614835;1175629668;204.0000
35644728;1175667488;278.0000
35689880;1175717900;-1.0000
35709999;1175722604;400.0000
35761164;1175785096;-1.0000
35779777;1175789780;400.0000
35824890;1175852292;-1.0000
35844906;1175857144;400.0000
35894915;1175919472;-1.0000
35915073;1175924280;400.0000
35960127;1175986648;-1.0000
